,name_last,name_first,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last,name
1189,szapucki,thomas,663378,szapt001,szaputh01,21065,2021.0,2022.0,thomas szapucki-663378
1190,taillon,jameson,592791,tailj001,taillja01,11674,2016.0,2022.0,jameson taillon-592791
1191,tapia,domingo,593619,tapid001,tapiado01,12178,2020.0,2022.0,domingo tapia-593619
1192,tapia,raimel,606132,tapir001,tapiara01,14350,2016.0,2022.0,raimel tapia-606132
1193,tate,dillon,622253,tated001,tatedi01,17796,2019.0,2022.0,dillon tate-622253
1194,taveras,leody,665750,tavel001,taverle01,18900,2020.0,2022.0,leody taveras-665750
1195,taylor,blake,642130,taylb004,taylobl01,16418,2020.0,2022.0,blake taylor-642130
1196,taylor,chris,621035,taylc001,tayloch03,13757,2014.0,2022.0,chris taylor-621035
1197,taylor,michael,572191,taylm002,taylomi02,11489,2014.0,2022.0,michael taylor-572191
1198,taylor,tyrone,621438,taylt002,tayloty01,13675,2019.0,2022.0,tyrone taylor-621438
1199,tellez,rowdy,642133,tellr001,tellero01,15679,2018.0,2022.0,rowdy tellez-642133
1200,tepera,ryan,572193,teper001,teperry01,10291,2015.0,2022.0,ryan tepera-572193
1201,tetreault,jackson,676194,tetrj001,tetreja01,20565,2022.0,2022.0,jackson tetreault-676194
1202,thaiss,matt,642136,thaim001,thaisma01,19318,2019.0,2022.0,matt thaiss-642136
1203,thielbar,caleb,573204,thiec001,thielca01,10078,2013.0,2022.0,caleb thielbar-573204
1204,thomas,alek,677950,thoma004,thomaal01,23792,2022.0,2022.0,alek thomas-677950
1205,thomas,dillon,605504,thomd004,thomadi01,12719,2021.0,2022.0,dillon thomas-605504
1206,thomas,lane,657041,thoml002,thomala02,16939,2019.0,2022.0,lane thomas-657041
1207,thompson,keegan,624522,thomk002,thompke02,19795,2021.0,2022.0,keegan thompson-624522
1208,thompson,mason,666168,thomm005,thompma02,21850,2021.0,2022.0,mason thompson-666168
1209,thompson,ryan,657044,thomr007,thompry02,16647,2020.0,2022.0,ryan thompson-657044
1210,thompson,trayce,572204,thomt002,thomptr01,9952,2015.0,2022.0,trayce thompson-572204
1211,thompson,zach,605507,thomz001,thompza01,16094,2021.0,2022.0,zach thompson-605507
1212,thompson,zack,668868,thomz002,thompza02,25918,2022.0,2022.0,zack thompson-668868
1213,thornburg,tyler,592804,thort001,thornty01,10688,2012.0,2022.0,tyler thornburg-592804
1214,thornton,trent,663423,thort002,thorntr01,17948,2019.0,2022.0,trent thornton-663423
